prefix,dbname,project,url
da,dawikisource,wikisource,https://da.wikisource.org
de,dewiki,wiki,https://de.wikipedia.org
de,dewiktionary,wiktionary,https://de.wiktionary.org
de,dewikibooks,wikibooks,https://de.wikibooks.org
de,dewikinews,wikinews,https://de.wikinews.org
de,dewikiquote,wikiquote,https://de.wikiquote.org
de,dewikisource,wikisource,https://de.wikisource.org
de,dewikiversity,wikiversity,https://de.wikiversity.org
de,dewikivoyage,wikivoyage,https://de.wikivoyage.org
din,dinwiki,wiki,https://din.wikipedia.org
diq,diqwiki,wiki,https://diq.wikipedia.org
dsb,dsbwiki,wiki,https://dsb.wikipedia.org
dty,dtywiki,wiki,https://dty.wikipedia.org
dv,dvwiki,wiki,https://dv.wikipedia.org
dv,dvwiktionary,wiktionary,https://dv.wiktionary.org
dz,dzwiki,wiki,https://dz.wikipedia.org
ee,eewiki,wiki,https://ee.wikipedia.org
el,elwiki,wiki,https://el.wikipedia.org
el,elwiktionary,wiktionary,https://el.wiktionary.org
el,elwikibooks,wikibooks,https://el.wikibooks.org
el,elwikinews,wikinews,https://el.wikinews.org
el,elwikiquote,wikiquote,https://el.wikiquote.org
el,elwikisource,wikisource,https://el.wikisource.org
el,elwikiversity,wikiversity,https://el.wikiversity.org
el,elwikivoyage,wikivoyage,https://el.wikivoyage.org
eml,emlwiki,wiki,https://eml.wikipedia.org
en,enwiki,wiki,https://en.wikipedia.org
en,enwiktionary,wiktionary,https://en.wiktionary.org
en,enwikibooks,wikibooks,https://en.wikibooks.org
en,enwikinews,wikinews,https://en.wikinews.org
en,enwikiquote,wikiquote,https://en.wikiquote.org
en,enwikisource,wikisource,https://en.wikisource.org
en,enwikiversity,wikiversity,https://en.wikiversity.org
en,enwikivoyage,wikivoyage,https://en.wikivoyage.org
eo,eowiki,wiki,https://eo.wikipedia.org
eo,eowiktionary,wiktionary,https://eo.wiktionary.org
eo,eowikibooks,wikibooks,https://eo.wikibooks.org
eo,eowikinews,wikinews,https://eo.wikinews.org
eo,eowikiquote,wikiquote,https://eo.wikiquote.org
eo,eowikisource,wikisource,https://eo.wikisource.org
es,eswiki,wiki,https://es.wikipedia.org
es,eswiktionary,wiktionary,https://es.wiktionary.org
es,eswikibooks,wikibooks,https://es.wikibooks.org
es,eswikinews,wikinews,https://es.wikinews.org
es,eswikiquote,wikiquote,https://es.wikiquote.org
es,eswikisource,wikisource,https://es.wikisource.org
es,eswikiversity,wikiversity,https://es.wikiversity.org
es,eswikivoyage,wikivoyage,https://es.wikivoyage.org
et,etwiki,wiki,https://et.wikipedia.org
et,etwiktionary,wiktionary,https://et.wiktionary.org
et,etwikibooks,wikibooks,https://et.wikibooks.org
et,etwikiquote,wikiquote,https://et.wikiquote.org
et,etwikisource,wikisource,https://et.wikisource.org
eu,euwiki,wiki,https://eu.wikipedia.org
eu,euwiktionary,wiktionary,https://eu.wiktionary.org
eu,euwikibooks,wikibooks,https://eu.wikibooks.org
eu,euwikiquote,wikiquote,https://eu.wikiquote.org
eu,euwikisource,wikisource,https://eu.wikisource.org
ext,extwiki,wiki,https://ext.wikipedia.org
fa,fawiki,wiki,https://fa.wikipedia.org
fa,fawiktionary,wiktionary,https://fa.wiktionary.org
fa,fawikibooks,wikibooks,https://fa.wikibooks.org
fa,fawikinews,wikinews,https://fa.wikinews.org
fa,fawikiquote,wikiquote,https://fa.wikiquote.org
fa,fawikisource,wikisource,https://fa.wikisource.org
fa,fawikivoyage,wikivoyage,https://fa.wikivoyage.org
ff,ffwiki,wiki,https://ff.wikipedia.org
fi,fiwiki,wiki,https://fi.wikipedia.org
fi,fiwiktionary,wiktionary,https://fi.wiktionary.org
fi,fiwikibooks,wikibooks,https://fi.wikibooks.org
fi,fiwikinews,wikinews,https://fi.wikinews.org
fi,fiwikiquote,wikiquote,https://fi.wikiquote.org
fi,fiwikisource,wikisource,https://fi.wikisource.org
fi,fiwikiversity,wikiversity,https://fi.wikiversity.org
fi,fiwikivoyage,wikivoyage,https://fi.wikivoyage.org
fiu-vro,fiu_vrowiki,wiki,https://fiu-vro.wikipedia.org
fj,fjwiki,wiki,https://fj.wikipedia.org
fj,fjwiktionary,wiktionary,https://fj.wiktionary.org
fo,fowiki,wiki,https://fo.wikipedia.org
fo,fowiktionary,wiktionary,https://fo.wiktionary.org
fo,fowikisource,wikisource,https://fo.wikisource.org
fr,frwiki,wiki,https://fr.wikipedia.org
fr,frwiktionary,wiktionary,https://fr.wiktionary.org
fr,frwikibooks,wikibooks,https://fr.wikibooks.org
fr,frwikinews,wikinews,https://fr.wikinews.org
fr,frwikiquote,wikiquote,https://fr.wikiquote.org
fr,frwikisource,wikisource,https://fr.wikisource.org
fr,frwikiversity,wikiversity,https://fr.wikiversity.org
fr,frwikivoyage,wikivoyage,https://fr.wikivoyage.org
frp,frpwiki,wiki,https://frp.wikipedia.org
frr,frrwiki,wiki,https://frr.wikipedia.org
fur,furwiki,wiki,https://fur.wikipedia.org
fy,fywiki,wiki,https://fy.wikipedia.org
fy,fywiktionary,wiktionary,https://fy.wiktionary.org
fy,fywikibooks,wikibooks,https://fy.wikibooks.org
ga,gawiki,wiki,https://ga.wikipedia.org
ga,gawiktionary,wiktionary,https://ga.wiktionary.org
gag,gagwiki,wiki,https://gag.wikipedia.org
gan,ganwiki,wiki,https://gan.wikipedia.org
gcr,gcrwiki,wiki,https://gcr.wikipedia.org
gd,gdwiki,wiki,https://gd.wikipedia.org
gd,gdwiktionary,wiktionary,https://gd.wiktionary.org
gl,glwiki,wiki,https://gl.wikipedia.org
gl,glwiktionary,wiktionary,https://gl.wiktionary.org
gl,glwikibooks,wikibooks,https://gl.wikibooks.org
gl,glwikiquote,wikiquote,https://gl.wikiquote.org
gl,glwikisource,wikisource,https://gl.wikisource.org
glk,glkwiki,wiki,https://glk.wikipedia.org
gn,gnwiki,wiki,https://gn.wikipedia.org
gn,gnwiktionary,wiktionary,https://gn.wiktionary.org
gom,gomwiki,wiki,https://gom.wikipedia.org
gor,gorwiki,wiki,https://gor.wikipedia.org
got,gotwiki,wiki,https://got.wikipedia.org
gu,guwiki,wiki,https://gu.wikipedia.org
gu,guwiktionary,wiktionary,https://gu.wiktionary.org
gu,guwikiquote,wikiquote,https://gu.wikiquote.org
gu,guwikisource,wikisource,https://gu.wikisource.org
gv,gvwiki,wiki,https://gv.wikipedia.org
gv,gvwiktionary,wiktionary,https://gv.wiktionary.org
ha,hawiki,wiki,https://ha.wikipedia.org
ha,hawiktionary,wiktionary,https://ha.wiktionary.org
hak,hakwiki,wiki,https://hak.wikipedia.org
haw,hawwiki,wiki,https://haw.wikipedia.org
he,hewiki,wiki,https://he.wikipedia.org
he,hewiktionary,wiktionary,https://he.wiktionary.org
he,hewikibooks,wikibooks,https://he.wikibooks.org
he,hewikinews,wikinews,https://he.wikinews.org
he,hewikiquote,wikiquote,https://he.wikiquote.org
he,hewikisource,wikisource,https://he.wikisource.org
he,hewikivoyage,wikivoyage,https://he.wikivoyage.org
hi,hiwiki,wiki,https://hi.wikipedia.org
hi,hiwiktionary,wiktionary,https://hi.wiktionary.org
hi,hiwikibooks,wikibooks,https://hi.wikibooks.org
hi,hiwikiquote,wikiquote,https://hi.wikiquote.org
hi,hiwikisource,wikisource,https://hi.wikisource.org
hi,hiwikiversity,wikiversity,https://hi.wikiversity.org
hi,hiwikivoyage,wikivoyage,https://hi.wikivoyage.org
hif,hifwiki,wiki,https://hif.wikipedia.org
hif,hifwiktionary,wiktionary,https://hif.wiktionary.org
hr,hrwiki,wiki,https://hr.wikipedia.org
