abb,region,state
US:AL,U.S. (South),Alabama
US:AK,U.S. (Pacific),Alaska
US:AZ,U.S. (West),Arizona
US:AR,U.S. (South),Arkansas
US:CA,U.S. (Pacific),California
US:CO,U.S. (West),Colorado
US:CT,U.S. (Northeast),Connecticut
US:DE,U.S. (South),Delaware
US:FL,U.S. (South),Florida
US:GA,U.S. (South),Georgia
US:HI,U.S. (Pacific),Hawaii
US:ID,U.S. (West),Idaho
US:IL,U.S. (Midwest),Illinois
US:IN,U.S. (Midwest),Indiana
US:IA,U.S. (Midwest),Iowa
US:KS,U.S. (Midwest),Kansas
US:KY,U.S. (South),Kentucky
US:LA,U.S. (South),Louisiana
US:ME,U.S. (Northeast),Maine
US:MD,U.S. (South),Maryland
US:MA,U.S. (Northeast),Massachusetts
US:MI,U.S. (Midwest),Michigan
US:MN,U.S. (Midwest),Minnesota
US:MS,U.S. (South),Mississippi
US:MO,U.S. (Midwest),Missouri
US:MT,U.S. (West),Montana
US:NE,U.S. (Midwest),Nebraska
US:NV,U.S. (West),Nevada
US:NH,U.S. (Northeast),New Hampshire
US:NJ,U.S. (Northeast),New Jersey
US:NM,U.S. (West),New Mexico
US:NY,U.S. (Northeast),New York
US:NC,U.S. (South),North Carolina
US:ND,U.S. (Midwest),North Dakota
US:OH,U.S. (Midwest),Ohio
US:OK,U.S. (South),Oklahoma
US:OR,U.S. (Pacific),Oregon
US:PA,U.S. (Northeast),Pennsylvania
US:RI,U.S. (Northeast),Rhode Island
US:SC,U.S. (South),South Carolina
US:SD,U.S. (Midwest),South Dakota
US:TN,U.S. (South),Tennessee
US:TX,U.S. (South),Texas
US:UT,U.S. (West),Utah
US:VT,U.S. (Northeast),Vermont
US:VA,U.S. (South),Virginia
US:WA,U.S. (Pacific),Washington
US:WV,U.S. (South),West Virginia
US:WI,U.S. (Midwest),Wisconsin
US:WY,U.S. (West),Wyoming
US:DC,U.S. (South),District of Columbia
AS,U.S. (Other),American Samoa
GU,U.S. (Other),Guam
MP,U.S. (Other),Northern Mariana Islands
PR,U.S. (Other),Puerto Rico
VI,U.S. (Other),"Virgin Islands, U.S."
